stop_id,stop_code,stop_descr,stop_desr_matrix,stop_street,stoptyp_code,dimos,perioxi,stop_url
740017,740017,ΕΥΞ. ΠΟΝΤΟΥ,EYX. PONTOY,ΕΥΞ.ΠΟΝΤΟΥ,ΣΤΑΣΗ,ΔΙΟΝΥΣΟΥ,Δ. ΕΝ.  ΣΤΑΜΑΤΑΣ,http://telematics.oasa.gr/#stationInfo_740017
740018,740018,ΚΩΝ/ΛΕΩΣ,KON/LEOS,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ,ΣΤΑΣΗ,ΔΙΟΝΥΣΟΥ,Δ. ΕΝ.  ΣΤΑΜΑΤΑΣ,http://telematics.oasa.gr/#stationInfo_740018
740019,740019,ΤΕΡΜΑ,TERMA,ΠΡΑΣΤΕΙΟΥ,ΣΤΑΣΗ,ΔΙΟΝΥΣΟΥ,Δ. ΕΝ.  ΣΤΑΜΑΤΑΣ,http://telematics.oasa.gr/#stationInfo_740019
740023,740023,3η ΜΑΡΑΘΩΝΟΣ,3rd MARATHONOS,ΛΕΩΦ.ΜΑΡΑΘΩΝΟΣ,ΣΤΑΣΗ,ΔΙΟΝΥΣΟΥ,Δ. ΕΝ.  ΣΤΑΜΑΤΑΣ,http://telematics.oasa.gr/#stationInfo_740023
740024,740024,4η ΜΑΡΑΘΩΝΟΣ,4th MARATHONOS,ΛΕΩΦ.ΜΑΡΑΘΩΝΟΣ,ΣΤΑΣΗ,ΔΙΟΝΥΣΟΥ,Δ. ΕΝ.  ΣΤΑΜΑΤΑΣ,http://telematics.oasa.gr/#stationInfo_740024
740025,740025,5η ΜΑΡΑΘΩΝΟΣ,5th MARATHONOS,ΛΕΩΦ.ΜΑΡΑΘΩΝΟΣ,ΣΤΑΣΗ,ΔΙΟΝΥΣΟΥ,Δ. ΕΝ.  ΣΤΑΜΑΤΑΣ,http://telematics.oasa.gr/#stationInfo_740025
740026,740026,5η ΜΑΡΑΘΩΝΟΣ,5th MARATHONOS,ΛΕΩΦ.ΜΑΡΑΘΩΝΟΣ,ΣΤΑΣΗ,ΔΙΟΝΥΣΟΥ,Δ. ΕΝ.  ΣΤΑΜΑΤΑΣ,http://telematics.oasa.gr/#stationInfo_740026
740027,740027,4η ΜΑΡΑΘΩΝΟΣ,4th MARATHONOS,ΛΕΩΦ.ΜΑΡΑΘΩΝΟΣ,ΣΤΑΣΗ,ΔΙΟΝΥΣΟΥ,Δ. ΕΝ.  ΣΤΑΜΑΤΑΣ,http://telematics.oasa.gr/#stationInfo_740027
740028,740028,3η ΜΑΡΑΘΩΝΟΣ,3rd MARATHONOS,ΛΕΩΦ.ΜΑΡΑΘΩΝΟΣ,ΣΤΑΣΗ,ΔΙΟΝΥΣΟΥ,Δ. ΕΝ.  ΣΤΑΜΑΤΑΣ,http://telematics.oasa.gr/#stationInfo_740028
740029,740029,ΠΛ. ΣΤΑΜΑΤΑΣ,PL. STAMATAS,ΠΛ.ΣΤΑΜΑΤΑΣ,ΣΤΑΣΗ,ΔΙΟΝΥΣΟΥ,Δ. ΕΝ.  ΣΤΑΜΑΤΑΣ,http://telematics.oasa.gr/#stationInfo_740029
750001,750001,ΠΟΛΙΤΗ,POLITH,ΑΓ.ΦΙΛΟΘΕΗΣ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750001
750002,750002,ΒΕΡΓΙΝΑ,BERGINA,ΒΕΡΓΙΝΑΣ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750002
750003,750003,ΠΕΤΡΙΝΟ ΠΕΡΙΠΤΕΡΟ,PETRINO PERIPTERO,ΑΓ.ΦΙΛΟΘΕΗΣ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750003
750004,750004,ΔΡΟΣΟΠΟΥΛΟΥ,DROSOPOYLOY,ΠΛ.ΔΡΟΣΟΠΟΥΛΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750004
750005,750005,ΠΛ. ΚΟΡΥΖΗ,PL. KORYZH,ΕΥΝΑΡΔΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750005
750006,750006,ΑΚΡΙΤΑ,AKRITA,ΚΑΠΟΔΙΣΤΡΙΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750006
750007,750007,ΔΑΒΑΚΗ,DABAKH,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750007
750008,750008,ΑΓ. ΦΙΛΟΘΕΗ,AG. FILOTHEH,ΑΓ.ΦΙΛΟΘΕΗΣ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750008
750009,750009,ΑΓ. ΦΙΛΟΘΕΗ,AG. FILOTHEH,ΑΓ.ΦΙΛΟΘΕΗΣ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750009
750010,750010,ΠΛ. ΠΙΚΙΩΝΗ,PL. PIKIONH,25ης ΜΑΡΤΙΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750010
750012,750012,ΑΦΕΤΗΡΙΑ,AFETHRIA,ΒΑΣ.ΓΕΩΡΓΙΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750012
750013,750013,ΑΝΩ ΑΓΟΡΑ,ANO AGORA,ΒΑΣ.ΓΕΩΡΓΙΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750013
750014,750014,ΠΛ. ΠΙΚΙΩΝΗ,PL. PIKIONH,25ης ΜΑΡΤΙΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750014
